Date,Year,Week,Accident and Emergency,ICU,Pediatric,Maternity,General,Acute Care,Orthopedic,Executive and VVIP,Admission
2008-07-23,2008,30,105,98,111,75,77,49,41,35,23
2008-07-24,2008,30,102,92,107,82,81,54,40,25,21
2008-07-25,2008,30,105,102,104,76,84,46,40,31,24
2008-07-26,2008,30,104,93,107,74,76,46,37,33,21
2008-07-27,2008,30,98,102,96,78,83,49,43,28,22
2008-07-28,2008,30,99,91,99,71,72,55,35,26,20
2008-07-29,2008,31,96,91,103,71,79,48,39,30,22
2008-07-30,2008,31,97,93,108,75,79,46,39,28,23
2008-07-31,2008,31,103,93,100,83,81,55,43,35,21
2008-08-01,2008,31,96,90,100,80,83,47,45,30,23
2008-08-02,2008,31,101,93,109,76,80,50,38,28,23
2008-08-03,2008,31,100,108,111,83,80,51,45,25,23
2008-08-04,2008,31,97,100,99,75,82,52,37,35,20
2008-08-05,2008,32,102,103,111,79,77,46,35,28,23
2008-08-06,2008,32,100,99,97,80,77,50,39,34,23
2008-08-07,2008,32,104,108,108,82,81,47,40,30,24
2008-08-08,2008,32,95,96,112,76,76,48,39,27,21
2008-08-09,2008,32,96,93,108,74,72,55,41,29,24
2008-08-10,2008,32,99,98,105,81,81,53,44,30,21
2008-08-11,2008,32,104,99,112,75,78,53,44,29,21
2008-08-12,2008,33,101,93,100,76,72,51,42,33,24
2008-08-13,2008,33,104,91,107,75,82,49,35,35,22
2008-08-14,2008,33,98,90,103,71,75,50,40,28,22
2008-08-15,2008,33,103,93,102,73,83,52,41,33,21
2008-08-16,2008,33,102,103,111,79,76,54,36,31,20
2008-08-17,2008,33,101,100,108,71,74,52,36,35,23
2008-08-18,2008,33,99,108,104,78,80,45,41,29,23
2008-08-19,2008,34,96,105,110,80,80,47,36,29,22
2008-08-20,2008,34,103,101,112,73,75,45,43,25,23
2008-08-21,2008,34,98,100,105,73,77,47,43,31,20
2008-08-22,2008,34,95,101,98,78,76,51,38,25,20
2008-08-23,2008,34,102,96,99,79,76,49,37,29,20
2008-08-24,2008,34,105,103,112,70,84,50,41,27,22
2008-08-25,2008,34,100,107,102,80,80,55,42,25,21
2008-08-26,2008,35,103,101,108,84,76,48,42,32,20
2008-08-27,2008,35,102,104,102,84,72,53,35,32,24
2008-08-28,2008,35,102,104,102,76,77,51,45,31,20
2008-08-29,2008,35,102,92,98,84,73,47,45,31,21
2008-08-30,2008,35,102,98,96,73,78,50,42,30,24
2008-08-31,2008,35,105,98,102,81,72,50,38,28,23
2008-09-01,2008,35,97,98,99,70,83,49,36,28,21
2008-09-02,2008,36,98,91,103,80,73,55,42,27,23
2008-09-03,2008,36,96,95,104,79,77,48,35,33,24
2008-09-04,2008,36,101,105,104,71,76,46,35,35,23
2008-09-05,2008,36,101,90,107,75,78,48,37,31,22
2008-09-06,2008,36,99,98,109,74,83,52,35,29,24
2008-09-07,2008,36,101,105,97,71,77,51,45,28,23
2008-09-08,2008,36,105,92,97,71,72,51,43,25,21
2008-09-09,2008,37,97,83,82,43,41,48,39,32,19
2008-09-10,2008,37,105,73,84,50,39,54,42,32,18
2008-09-11,2008,37,103,80,89,50,36,52,35,29,17
2008-09-12,2008,37,98,84,84,54,39,45,45,35,20
2008-09-13,2008,37,95,88,84,49,45,55,45,33,18
2008-09-14,2008,37,105,90,87,48,40,55,36,32,20
2008-09-15,2008,37,98,87,91,43,37,52,38,28,17
2008-09-16,2008,38,103,79,95,56,44,48,39,25,18
2008-09-17,2008,38,102,86,92,49,45,53,42,32,16
2008-09-18,2008,38,104,86,82,54,40,49,42,25,16
2008-09-19,2008,38,96,81,82,51,42,46,38,32,19
2008-09-20,2008,38,102,83,93,50,42,55,39,34,20
2008-09-21,2008,38,105,85,95,50,45,45,45,26,18
2008-09-22,2008,38,102,86,93,51,47,46,42,34,20
2008-09-23,2008,39,103,85,90,56,45,53,39,32,19
2008-09-24,2008,39,102,83,83,49,46,51,42,31,17
2008-09-25,2008,39,97,72,83,47,45,51,45,27,18
2008-09-26,2008,39,105,89,81,47,40,49,36,33,18
2008-09-27,2008,39,104,72,84,44,48,52,40,28,16
2008-09-28,2008,39,99,74,85,45,36,50,39,29,18
2008-09-29,2008,39,95,83,86,47,48,51,41,34,17
2008-09-30,2008,40,100,88,93,48,41,50,35,27,18
2008-10-01,2008,40,95,82,81,55,42,51,44,30,16
2008-10-02,2008,40,95,87,82,45,38,55,42,28,20
2008-10-03,2008,40,96,89,80,46,46,53,41,32,18
2008-10-04,2008,40,98,75,85,51,45,46,38,25,17
2008-10-05,2008,40,97,72,95,43,38,49,42,31,19
2008-10-06,2008,40,103,83,82,53,48,45,37,32,20
2008-10-07,2008,41,101,78,95,56,44,48,39,33,16
2008-10-08,2008,41,97,81,90,48,44,50,38,31,17
2008-10-09,2008,41,95,88,88,45,44,55,36,35,19
2008-10-10,2008,41,104,75,89,51,40,47,44,31,20
2008-10-11,2008,41,99,77,92,42,36,46,42,31,18
2008-10-12,2008,41,98,82,93,55,48,52,39,34,20
2008-10-13,2008,41,104,88,94,47,38,46,38,26,19
2008-10-14,2008,42,98,75,85,50,39,50,44,28,18
2008-10-15,2008,42,99,73,82,55,41,55,37,25,18
2008-10-16,2008,42,96,88,92,53,44,45,39,30,16
2008-10-17,2008,42,103,74,88,53,45,50,42,26,20
2008-10-18,2008,42,97,78,82,55,43,50,35,26,18
2008-10-19,2008,42,98,89,91,54,40,48,43,25,16
2008-10-20,2008,42,96,76,91,42,46,54,38,27,20
2008-10-21,2008,43,101,76,90,53,39,49,43,32,19
2008-10-22,2008,43,100,74,93,45,39,51,40,25,20
2008-10-23,2008,43,103,80,86,46,39,53,43,30,18
2008-10-24,2008,43,104,78,91,48,37,51,43,34,18
2008-10-25,2008,43,103,83,81,48,37,47,43,29,16
2008-10-26,2008,43,105,83,89,44,43,55,39,25,18
2008-10-27,2008,43,98,85,92,53,46,54,37,26,16
2008-10-28,2008,44,98,80,95,49,42,54,35,25,18
2008-10-29,2008,44,95,87,91,56,41,46,40,32,19
2008-10-30,2008,44,105,87,85,47,40,52,39,33,17
2008-10-31,2008,44,99,90,89,49,47,55,35,27,20
2008-11-01,2008,44,98,90,89,43,39,54,45,35,18
2008-11-02,2008,44,103,72,95,48,47,55,35,29,20
2008-11-03,2008,44,101,77,82,55,45,51,43,35,17
2008-11-04,2008,45,95,79,94,56,47,52,45,33,16
2008-11-05,2008,45,99,75,94,43,40,52,42,32,16
2008-11-06,2008,45,97,73,88,56,48,54,44,27,17
2008-11-07,2008,45,103,89,83,50,38,47,44,29,19
2008-11-08,2008,45,102,74,94,55,45,48,38,28,17
2008-11-09,2008,45,104,85,86,45,45,49,35,30,16
2008-11-10,2008,45,102,75,95,51,41,50,44,33,16
2008-11-11,2008,46,97,78,89,52,38,52,35,31,16
2008-11-12,2008,46,102,72,91,42,47,52,35,26,17
2008-11-13,2008,46,105,80,80,44,48,48,41,31,16
2008-11-14,2008,46,105,86,92,47,48,53,43,26,20
2008-11-15,2008,46,97,87,85,44,37,52,43,28,17
2008-11-16,2008,46,100,89,84,56,46,49,41,34,17
2008-11-17,2008,46,101,76,83,43,37,52,42,35,20
2008-11-18,2008,47,102,84,95,53,45,51,40,35,16
2008-11-19,2008,47,98,87,86,42,37,50,45,32,19
2008-11-20,2008,47,96,78,84,46,43,49,45,32,19
2008-11-21,2008,47,99,88,80,44,44,54,38,28,18
2008-11-22,2008,47,102,72,81,53,36,52,41,30,20
2008-11-23,2008,47,101,84,90,42,48,49,38,28,19
2008-11-24,2008,47,98,73,87,50,36,45,39,25,19
2008-11-25,2008,48,95,100,88,70,37,50,43,25,22
2008-11-26,2008,48,105,95,80,67,43,50,43,25,24
2008-11-27,2008,48,100,100,92,59,36,47,37,32,20
2008-11-28,2008,48,96,101,89,66,45,45,44,30,21
2008-11-29,2008,48,97,92,87,69,46,55,36,27,20
2008-11-30,2008,48,100,91,85,64,40,48,40,29,23
2008-12-01,2008,48,99,108,91,60,38,53,42,30,23
2008-12-02,2008,49,100,108,85,62,38,50,40,31,20
2008-12-03,2008,49,98,105,87,64,43,53,37,33,22
2008-12-04,2008,49,103,90,87,58,48,45,36,25,24
2008-12-05,2008,49,97,93,96,56,42,48,43,27,21
2008-12-06,2008,49,103,108,81,69,40,50,43,31,22
2008-12-07,2008,49,104,97,80,70,36,49,40,30,24
2008-12-08,2008,49,104,90,95,66,48,45,40,29,21
2008-12-09,2008,50,100,94,95,70,37,53,36,26,23
2008-12-10,2008,50,103,93,93,63,44,45,35,27,22
2008-12-11,2008,50,96,99,95,64,36,48,36,28,22
2008-12-12,2008,50,103,105,86,69,48,51,41,30,20
2008-12-13,2008,50,95,94,95,57,41,45,41,32,24
2008-12-14,2008,50,103,97,83,62,37,55,44,32,21
2008-12-15,2008,50,103,106,85,59,39,49,39,34,22
2008-12-16,2008,51,102,92,89,67,37,53,45,30,20
2008-12-17,2008,51,105,103,81,67,43,48,40,35,20
2008-12-18,2008,51,103,105,82,67,46,55,43,34,24
2008-12-19,2008,51,101,95,92,62,44,53,39,35,20
2008-12-20,2008,51,98,95,87,61,37,45,36,35,20
2008-12-21,2008,51,102,102,86,65,47,50,39,30,21
2008-12-22,2008,51,97,93,90,65,44,50,44,29,22
2008-12-23,2008,52,100,93,87,65,45,48,42,28,24
2008-12-24,2008,52,102,95,80,70,42,51,36,31,24
2008-12-25,2008,52,98,94,95,59,38,55,39,31,22
2008-12-26,2008,52,104,100,96,65,47,55,43,27,24
2008-12-27,2008,52,101,106,89,59,46,46,36,34,21
2008-12-28,2008,52,103,96,95,66,47,51,42,26,21
2008-12-29,2008,52,102,100,95,58,41,54,45,25,24
2008-12-30,2008,53,102,107,95,62,37,47,40,25,20
2008-12-31,2008,53,104,106,91,64,43,45,40,31,23
2009-01-01,2009,1,105,95,80,64,44,46,39,30,21
2009-01-02,2009,1,97,99,90,65,41,48,41,26,20
2009-01-03,2009,1,95,101,84,64,44,53,37,31,22
2009-01-04,2009,1,101,102,92,65,41,47,43,30,20
2009-01-05,2009,1,102,98,89,68,44,45,42,31,22
2009-01-06,2009,1,101,107,86,65,47,45,44,26,24
2009-01-07,2009,1,105,105,92,61,45,54,36,28,24
2009-01-08,2009,2,104,107,81,58,38,52,40,33,24
2009-01-09,2009,2,95,96,88,64,47,52,39,32,24
2009-01-10,2009,2,98,97,94,69,42,55,38,26,21
2009-01-11,2009,2,102,102,90,70,47,50,42,30,24
2009-01-12,2009,2,101,103,85,58,40,52,41,33,24
2009-01-13,2009,2,102,92,80,56,39,47,36,34,23
2009-01-14,2009,2,100,90,82,70,44,54,42,34,23
2009-01-15,2009,3,96,91,90,65,36,45,38,29,20
2009-01-16,2009,3,103,95,86,66,44,49,39,25,21
2009-01-17,2009,3,100,106,95,69,42,48,45,28,24
2009-01-18,2009,3,95,97,86,66,42,55,38,25,22
2009-01-19,2009,3,102,101,83,61,37,51,43,34,23
2009-01-20,2009,3,105,105,95,60,46,55,42,27,24
2009-01-21,2009,3,95,108,81,58,40,55,40,33,21
2009-01-22,2009,4,103,97,88,63,36,46,44,26,23
2009-01-23,2009,4,104,96,82,65,39,54,37,26,22
2009-01-24,2009,4,96,100,95,65,38,55,36,33,20
2009-01-25,2009,4,99,94,89,56,36,52,44,33,23
2009-01-26,2009,4,104,95,80,60,42,50,45,25,24
2009-01-27,2009,4,95,90,87,68,41,50,35,32,24
2009-01-28,2009,4,99,108,89,69,43,54,35,25,23
2009-01-29,2009,5,100,106,85,68,39,54,45,35,24
2009-01-30,2009,5,97,93,89,60,40,45,43,28,20
2009-01-31,2009,5,104,108,92,58,43,48,41,27,22
2009-02-01,2009,5,105,97,94,60,41,52,40,31,24
2009-02-02,2009,5,101,93,88,61,36,47,38,32,24
2009-02-03,2009,5,98,94,94,67,47,55,43,27,24
2009-02-04,2009,5,105,107,85,68,42,50,44,29,22
2009-02-05,2009,6,101,96,83,56,39,50,43,35,24
2009-02-06,2009,6,101,108,94,58,37,46,39,27,24
2009-02-07,2009,6,100,97,93,58,40,54,44,34,20
2009-02-08,2009,6,96,98,81,62,45,52,36,32,24
2009-02-09,2009,6,96,100,85,58,37,45,43,31,24
2009-02-10,2009,6,100,94,84,62,48,49,42,32,24
2009-02-11,2009,6,103,93,86,65,40,49,35,34,23
2009-02-12,2009,7,100,105,95,69,48,47,36,32,20
2009-02-13,2009,7,101,104,95,58,41,50,44,26,21
2009-02-14,2009,7,97,95,81,63,43,52,38,28,23
2009-02-15,2009,7,98,96,95,56,38,53,41,32,20
2009-02-16,2009,7,97,98,80,68,45,52,35,33,24
2009-02-17,2009,7,103,94,82,59,43,51,40,28,21
2009-02-18,2009,7,95,100,88,62,44,50,36,32,24
2009-02-19,2009,8,102,107,91,62,48,55,36,27,21
2009-02-20,2009,8,105,94,86,70,37,51,38,30,23
2009-02-21,2009,8,96,107,96,58,42,47,36,30,24
2009-02-22,2009,8,98,101,94,57,48,55,35,30,24
2009-02-23,2009,8,102,100,84,59,48,47,41,28,24
2009-02-24,2009,8,97,101,81,61,36,55,39,31,20
2009-02-25,2009,8,102,92,91,66,43,52,42,35,24
2009-02-26,2009,9,100,105,95,57,38,49,45,31,23
2009-02-27,2009,9,98,93,93,57,41,52,42,34,20
2009-02-28,2009,9,102,108,84,56,42,46,40,33,22
2009-03-01,2009,9,102,105,84,68,45,45,42,26,24
2009-03-02,2009,9,98,99,88,66,42,51,35,33,23
2009-03-03,2009,9,96,99,86,60,39,45,39,35,23
2009-03-04,2009,9,102,104,95,64,39,52,42,30,24
2009-03-05,2009,10,100,79,79,57,58,49,38,29,20
2009-03-06,2009,10,98,79,73,59,59,55,36,31,16
2009-03-07,2009,10,97,80,80,63,56,49,44,25,17
2009-03-08,2009,10,96,83,72,65,49,51,42,28,19
2009-03-09,2009,10,101,76,67,63,50,51,41,30,17
2009-03-10,2009,10,96,81,75,64,50,54,44,25,18
2009-03-11,2009,10,102,87,69,58,53,47,45,30,17
2009-03-12,2009,11,101,74,73,62,58,50,40,32,16
2009-03-13,2009,11,95,85,69,65,48,52,38,25,19
2009-03-14,2009,11,102,85,66,58,54,47,38,35,16
2009-03-15,2009,11,101,90,69,58,51,55,39,25,20
2009-03-16,2009,11,103,73,71,70,51,54,38,35,16
2009-03-17,2009,11,103,72,74,67,49,50,43,31,16
2009-03-18,2009,11,100,82,67,60,48,50,42,32,17
2009-03-19,2009,12,103,86,76,63,54,54,44,25,17
2009-03-20,2009,12,105,74,73,61,60,46,38,34,17
2009-03-21,2009,12,96,88,79,69,52,52,38,32,20
2009-03-22,2009,12,99,90,67,62,56,55,43,35,17
2009-03-23,2009,12,96,80,73,59,53,54,36,30,18
2009-03-24,2009,12,100,84,64,60,59,51,44,29,18
2009-03-25,2009,12,103,75,64,66,50,54,37,25,19
2009-03-26,2009,13,102,72,73,62,50,52,45,34,17
2009-03-27,2009,13,105,72,79,56,60,47,35,28,16
2009-03-28,2009,13,99,76,64,59,50,46,35,27,16
2009-03-29,2009,13,96,88,74,58,58,48,40,32,18
2009-03-30,2009,13,97,74,76,58,59,52,37,30,16
2009-03-31,2009,13,95,73,80,57,60,46,38,31,16
2009-04-01,2009,13,104,72,80,60,55,50,35,28,19
2009-04-02,2009,14,103,77,75,62,60,52,35,29,18
2009-04-03,2009,14,100,78,80,68,54,52,36,35,16
2009-04-04,2009,14,105,81,76,58,56,49,39,28,20
2009-04-05,2009,14,98,78,78,58,48,46,37,29,20
2009-04-06,2009,14,97,78,70,63,50,53,38,33,16
2009-04-07,2009,14,99,87,77,69,58,52,35,32,18
2009-04-08,2009,14,101,76,68,64,55,53,39,32,20
2009-04-09,2009,15,105,86,68,70,51,46,45,29,20
2009-04-10,2009,15,96,88,75,64,50,46,42,31,16
2009-04-11,2009,15,98,84,68,61,56,50,36,26,19
2009-04-12,2009,15,105,85,77,69,60,49,38,32,17
2009-04-13,2009,15,97,79,74,64,54,48,35,26,16
2009-04-14,2009,15,99,73,67,65,54,49,38,35,20
2009-04-15,2009,15,97,86,78,67,54,55,41,32,17
2009-04-16,2009,16,104,85,76,63,56,54,43,35,19
2009-04-17,2009,16,104,78,69,57,55,50,39,25,18
2009-04-18,2009,16,99,84,64,58,54,47,44,27,17
2009-04-19,2009,16,96,85,65,57,55,53,36,34,19
2009-04-20,2009,16,102,74,77,65,53,50,35,29,19
2009-04-21,2009,16,101,88,68,64,58,46,37,34,17
2009-04-22,2009,16,103,74,67,66,57,55,35,27,16
2009-04-23,2009,17,101,73,75,66,48,48,35,33,20
2009-04-24,2009,17,96,84,76,60,51,49,43,29,20
2009-04-25,2009,17,98,86,72,61,50,55,43,27,17
2009-04-26,2009,17,96,82,71,68,53,48,45,29,18
2009-04-27,2009,17,101,80,74,59,53,52,42,26,19
2009-04-28,2009,17,98,81,77,64,60,46,36,31,16
2009-04-29,2009,17,99,80,74,56,54,55,44,32,20
2009-04-30,2009,18,99,86,71,58,53,55,37,30,20
2009-05-01,2009,18,97,73,66,60,56,53,37,29,20
2009-05-02,2009,18,101,88,72,68,52,53,43,34,20
2009-05-03,2009,18,95,82,65,59,49,46,45,27,17
2009-05-04,2009,18,105,85,75,62,48,46,44,33,20
2009-05-05,2009,18,104,89,77,61,50,48,45,33,16
2009-05-06,2009,18,98,78,72,56,55,52,45,33,19
2009-05-07,2009,19,104,81,78,59,50,47,40,26,19
2009-05-08,2009,19,101,85,80,56,59,53,37,30,18
2009-05-09,2009,19,97,74,65,61,50,48,37,27,18
2009-05-10,2009,19,97,86,78,69,48,47,41,30,17
2009-05-11,2009,19,99,80,66,57,53,55,36,25,20
2009-05-12,2009,19,102,88,68,61,58,45,39,26,19
2009-05-13,2009,19,101,85,66,63,57,50,42,32,20
2009-05-14,2009,20,100,72,67,58,59,55,36,31,19
2009-05-15,2009,20,105,74,66,56,60,46,40,33,20
2009-05-16,2009,20,105,89,78,59,54,52,40,27,19
2009-05-17,2009,20,97,90,72,59,55,54,44,26,17
2009-05-18,2009,20,95,90,80,57,48,49,41,35,17
2009-05-19,2009,20,100,75,78,60,50,45,35,35,16
2009-05-20,2009,20,103,78,80,67,53,46,35,34,16
2009-05-21,2009,21,101,83,78,57,49,50,36,29,18
2009-05-22,2009,21,95,89,72,65,58,48,42,32,16
2009-05-23,2009,21,103,87,77,67,58,53,42,31,20
2009-05-24,2009,21,99,87,64,69,51,50,43,29,19
2009-05-25,2009,21,102,83,68,61,56,51,43,32,19
2009-05-26,2009,21,103,81,73,64,54,46,45,32,19
2009-05-27,2009,21,105,74,71,59,60,55,42,33,18
2009-05-28,2009,22,105,77,64,59,55,49,35,35,18
2009-05-29,2009,22,101,88,72,58,58,49,40,26,16
2009-05-30,2009,22,98,81,65,62,53,49,45,31,16
2009-05-31,2009,22,95,84,65,61,52,50,36,28,19
2009-06-01,2009,22,101,82,77,60,49,53,35,33,16
2009-06-02,2009,22,95,74,75,66,48,49,35,34,19
2009-06-03,2009,22,98,90,79,59,50,45,38,35,18
2009-06-04,2009,23,105,98,100,78,84,55,44,27,20
2009-06-05,2009,23,98,100,104,77,72,54,37,27,20
2009-06-06,2009,23,99,91,112,72,82,45,36,25,21
2009-06-07,2009,23,98,95,111,71,72,48,39,26,20
2009-06-08,2009,23,100,90,109,80,81,49,38,32,23
2009-06-09,2009,23,99,93,100,75,77,47,41,29,21
2009-06-10,2009,23,101,97,96,82,74,48,41,28,23
2009-06-11,2009,24,98,105,100,77,74,50,43,33,22
2009-06-12,2009,24,101,93,103,83,78,49,36,26,20
2009-06-13,2009,24,95,104,102,84,84,49,40,34,24
2009-06-14,2009,24,96,101,106,82,79,47,37,30,22
2009-06-15,2009,24,99,100,98,73,82,50,42,30,24
2009-06-16,2009,24,97,94,99,78,81,45,41,31,21
2009-06-17,2009,24,104,108,96,78,77,46,42,26,20
2009-06-18,2009,25,101,90,106,80,73,47,39,30,24
2009-06-19,2009,25,100,102,98,80,83,53,42,26,24
2009-06-20,2009,25,104,98,105,72,75,46,44,26,21
2009-06-21,2009,25,101,108,110,72,84,46,42,33,23
2009-06-22,2009,25,96,95,105,70,79,55,42,28,22
2009-06-23,2009,25,99,92,100,79,75,47,41,29,22
2009-06-24,2009,25,95,91,97,76,81,47,38,33,21
2009-06-25,2009,26,101,103,101,71,72,50,39,31,21
2009-06-26,2009,26,98,90,106,84,80,45,39,29,21
2009-06-27,2009,26,99,93,100,73,80,45,43,32,23
2009-06-28,2009,26,101,99,101,71,81,55,38,28,23
2009-06-29,2009,26,95,107,99,75,74,53,38,35,24
2009-06-30,2009,26,103,92,104,83,77,46,38,31,22
2009-07-01,2009,26,104,97,111,74,72,48,39,35,24
2009-07-02,2009,27,96,105,112,73,72,49,43,34,23
2009-07-03,2009,27,100,90,102,78,74,55,44,27,21
2009-07-04,2009,27,104,103,111,80,77,50,45,25,22
2009-07-05,2009,27,97,94,101,72,72,47,37,27,22
2009-07-06,2009,27,104,103,111,78,78,50,39,29,23
2009-07-07,2009,27,103,103,98,83,83,54,42,30,23
2009-07-08,2009,27,100,104,106,75,74,50,42,25,20
2009-07-09,2009,28,96,92,100,80,84,45,37,34,24
2009-07-10,2009,28,95,90,109,77,73,54,40,31,21
2009-07-11,2009,28,98,97,110,73,76,45,45,34,23
2009-07-12,2009,28,104,95,98,83,82,51,35,32,22
2009-07-13,2009,28,97,90,101,70,78,46,43,35,22
2009-07-14,2009,28,95,107,106,83,81,45,37,35,23
2009-07-15,2009,28,99,108,101,72,72,50,43,27,24
2009-07-16,2009,29,99,102,108,81,76,53,39,26,20
2009-07-17,2009,29,100,107,108,78,78,47,42,26,21
2009-07-18,2009,29,101,108,97,81,73,48,38,28,21
2009-07-19,2009,29,104,99,106,76,75,52,43,35,24
2009-07-20,2009,29,95,105,96,75,73,52,40,27,22
2009-07-21,2009,29,95,90,110,84,72,49,38,32,23
2009-07-22,2009,29,101,99,107,73,84,52,37,31,24
2009-07-23,2009,30,100,93,99,81,73,49,40,31,20
2009-07-24,2009,30,96,104,102,74,82,48,41,28,24
2009-07-25,2009,30,104,105,109,72,73,46,44,33,21
2009-07-26,2009,30,100,99,111,82,74,50,45,26,21
2009-07-27,2009,30,105,103,109,78,81,50,44,26,21
2009-07-28,2009,30,104,94,111,79,72,48,37,34,23
2009-07-29,2009,30,104,97,111,78,76,52,44,29,21
2009-07-30,2009,31,105,103,110,72,77,48,38,27,23
2009-07-31,2009,31,100,92,101,84,81,50,45,27,22
2009-08-01,2009,31,104,103,110,81,73,51,41,27,21
2009-08-02,2009,31,98,101,110,83,77,48,45,27,23
2009-08-03,2009,31,96,96,106,77,80,54,42,27,23
2009-08-04,2009,31,105,103,97,80,75,45,39,35,21
2009-08-05,2009,31,101,91,105,80,83,46,41,25,23
2009-08-06,2009,32,99,100,105,72,72,54,39,33,21
2009-08-07,2009,32,98,97,106,71,75,54,41,30,24
2009-08-08,2009,32,100,107,111,80,78,46,39,26,24
2009-08-09,2009,32,96,99,112,83,83,51,36,28,23
2009-08-10,2009,32,101,92,102,82,82,51,40,34,24
2009-08-11,2009,32,98,102,110,71,72,45,38,25,20
2009-08-12,2009,32,104,91,109,75,75,48,44,28,23
2009-08-13,2009,33,98,99,112,77,72,50,44,28,23
2009-08-14,2009,33,96,102,99,72,80,55,36,30,20
2009-08-15,2009,33,104,106,108,83,83,48,45,28,23
2009-08-16,2009,33,97,100,106,76,81,49,38,30,24
2009-08-17,2009,33,105,92,102,78,72,55,43,34,22
2009-08-18,2009,33,98,100,100,83,83,48,41,32,20
2009-08-19,2009,33,96,94,109,76,83,52,35,26,24
2009-08-20,2009,34,95,102,107,71,77,49,38,32,24
2009-08-21,2009,34,105,101,108,74,79,48,45,34,21
2009-08-22,2009,34,99,108,100,70,76,50,42,35,22
2009-08-23,2009,34,105,90,105,74,80,54,40,28,20
2009-08-24,2009,34,105,94,101,78,84,48,35,28,22
2009-08-25,2009,34,99,93,96,72,78,45,43,26,20
2009-08-26,2009,34,104,99,104,79,79,50,36,32,20
2009-08-27,2009,35,105,107,108,76,84,50,40,30,22
2009-08-28,2009,35,95,107,102,74,77,46,38,25,23
2009-08-29,2009,35,101,101,98,79,72,52,35,27,20
2009-08-30,2009,35,95,97,96,72,83,54,45,27,23
2009-08-31,2009,35,95,103,101,74,84,55,36,28,22
2009-09-01,2009,35,95,98,109,73,75,51,38,30,20
2009-09-02,2009,35,96,99,108,70,81,47,44,35,21
2009-09-03,2009,36,95,94,102,70,77,47,40,32,22
2009-09-04,2009,36,101,104,96,78,72,55,39,30,21
2009-09-05,2009,36,102,100,98,80,82,45,38,26,22
2009-09-06,2009,36,101,90,98,70,77,45,42,29,24
2009-09-07,2009,36,105,100,96,84,74,45,35,26,23
2009-09-08,2009,36,99,102,99,83,84,52,45,26,21
2009-09-09,2009,36,103,99,96,74,76,51,41,30,23
2009-09-10,2009,37,99,83,96,50,36,47,35,30,17
2009-09-11,2009,37,98,79,81,56,48,49,41,32,20
2009-09-12,2009,37,95,83,94,45,42,52,35,25,16
2009-09-13,2009,37,96,82,96,54,36,51,39,28,19
2009-09-14,2009,37,95,79,86,47,41,50,39,33,20
2009-09-15,2009,37,105,88,89,43,38,55,37,29,18
2009-09-16,2009,37,104,89,96,56,37,48,42,35,20
2009-09-17,2009,38,100,81,91,50,40,54,41,31,19
2009-09-18,2009,38,97,72,89,47,36,55,35,30,18
2009-09-19,2009,38,104,88,91,43,42,47,44,34,18
2009-09-20,2009,38,104,83,91,43,37,49,38,31,18
2009-09-21,2009,38,100,86,83,42,41,55,39,26,19
2009-09-22,2009,38,102,84,95,44,38,50,38,33,20
2009-09-23,2009,38,97,87,96,51,43,55,40,35,19
2009-09-24,2009,39,103,77,93,50,45,49,40,32,17
2009-09-25,2009,39,99,73,93,42,44,50,45,31,20
2009-09-26,2009,39,101,80,80,49,42,52,39,34,17
2009-09-27,2009,39,102,76,81,47,43,52,36,33,19
2009-09-28,2009,39,96,85,95,50,38,52,37,29,20
2009-09-29,2009,39,95,83,84,50,44,47,45,33,17
2009-09-30,2009,39,96,84,89,42,46,48,43,31,19
2009-10-01,2009,40,97,85,95,50,38,51,37,29,18
2009-10-02,2009,40,104,88,86,46,44,45,38,29,17
2009-10-03,2009,40,95,72,93,54,39,46,40,33,17
2009-10-04,2009,40,97,72,94,55,41,45,42,34,16
2009-10-05,2009,40,100,87,82,56,44,55,38,32,19
2009-10-06,2009,40,105,88,80,52,42,55,44,35,17
2009-10-07,2009,40,100,84,83,54,43,45,44,30,20
2009-10-08,2009,41,99,89,82,52,44,48,35,33,17
2009-10-09,2009,41,99,77,92,56,42,48,39,26,19
2009-10-10,2009,41,95,79,88,55,47,46,35,31,16
2009-10-11,2009,41,97,82,96,45,37,53,43,28,18
2009-10-12,2009,41,99,81,83,49,42,45,39,34,18
2009-10-13,2009,41,96,89,94,56,37,45,44,32,17
2009-10-14,2009,41,101,84,93,50,42,51,37,29,17
2009-10-15,2009,42,100,87,89,56,42,52,40,35,19
2009-10-16,2009,42,103,75,87,46,39,45,44,35,17
2009-10-17,2009,42,104,74,81,54,36,49,45,31,16
2009-10-18,2009,42,103,75,93,55,38,49,36,27,19
2009-10-19,2009,42,96,84,86,46,44,47,36,30,18
2009-10-20,2009,42,104,86,92,43,48,54,41,25,20
2009-10-21,2009,42,105,78,87,51,48,49,38,35,18
2009-10-22,2009,43,95,86,82,43,47,51,36,28,20
2009-10-23,2009,43,99,81,94,50,39,53,43,34,18
2009-10-24,2009,43,103,83,89,45,45,47,35,28,16
2009-10-25,2009,43,102,85,96,43,48,54,39,29,18
2009-10-26,2009,43,98,73,90,45,42,47,41,29,19
2009-10-27,2009,43,101,84,93,42,37,48,41,29,17
2009-10-28,2009,43,98,89,91,50,47,45,36,32,18
2009-10-29,2009,44,100,79,95,42,43,50,43,34,19
